"Route","Year","Shannon","Lati","Longi","o$GEOID","o$NAME"
46,2004,3.33180585205303,40.6059796,-81.1683844,"39019","Carroll"
46,2011,3.59626127639673,40.6059796,-81.1683844,"39019","Carroll"
46,2005,3.62200289319263,40.6059796,-81.1683844,"39019","Carroll"
47,2012,2.89104597654755,40.6455357,-81.8418429,"39075","Holmes"
47,2005,3.37027217040802,40.6455357,-81.8418429,"39075","Holmes"
47,2003,2.86740937699689,40.6455357,-81.8418429,"39075","Holmes"
47,2001,3.19953088633266,40.6455357,-81.8418429,"39075","Holmes"
47,2010,3.07880343188376,40.6455357,-81.8418429,"39075","Holmes"
47,2000,3.17948104273569,40.6455357,-81.8418429,"39075","Holmes"
49,2011,3.80384327730438,40.1062833,-81.8999167,"39119","Muskingum"
49,2009,3.86474907904131,40.1062833,-81.8999167,"39119","Muskingum"
49,2006,3.94219567200292,40.1062833,-81.8999167,"39119","Muskingum"
49,2005,3.85243199318953,40.1062833,-81.8999167,"39119","Muskingum"
49,2004,3.8151427845652,40.1062833,-81.8999167,"39119","Muskingum"
49,2003,3.82701105447821,40.1062833,-81.8999167,"39119","Muskingum"
49,2010,3.90005688682929,40.1062833,-81.8999167,"39119","Muskingum"
49,2000,3.79045883898513,40.1062833,-81.8999167,"39119","Muskingum"
49,2012,3.83097249000622,40.1062833,-81.8999167,"39119","Muskingum"
49,2008,3.85106548393717,40.1062833,-81.8999167,"39119","Muskingum"
49,2007,3.85660018637238,40.1062833,-81.8999167,"39119","Muskingum"
49,2013,3.8152096511831,40.1062833,-81.8999167,"39119","Muskingum"
49,2001,3.89738719901415,40.1062833,-81.8999167,"39119","Muskingum"
56,2003,3.12937779276725,40.2788528,-80.7678799,"39081","Jefferson"
56,2013,3.27715690986073,40.2788528,-80.7678799,"39081","Jefferson"
56,2002,2.98215202121185,40.2788528,-80.7678799,"39081","Jefferson"
56,2001,3.46146723659938,40.2788528,-80.7678799,"39081","Jefferson"
56,2004,3.43701323708232,40.2788528,-80.7678799,"39081","Jefferson"
56,2000,3.28874635486489,40.2788528,-80.7678799,"39081","Jefferson"
56,2006,3.31835691013657,40.2788528,-80.7678799,"39081","Jefferson"
56,2012,3.30620418331823,40.2788528,-80.7678799,"39081","Jefferson"
58,2003,3.09652902182069,39.6578707,-84.3980039,"39113","Montgomery"
58,2009,3.49698018318551,39.6578707,-84.3980039,"39113","Montgomery"
58,2008,3.49492215438627,39.6578707,-84.3980039,"39113","Montgomery"
58,2004,3.31858103884123,39.6578707,-84.3980039,"39113","Montgomery"
58,2005,3.35752093134312,39.6578707,-84.3980039,"39113","Montgomery"
58,2010,3.33058850601367,39.6578707,-84.3980039,"39113","Montgomery"
58,2007,3.5160200545157,39.6578707,-84.3980039,"39113","Montgomery"
58,2001,3.54351430632666,39.6578707,-84.3980039,"39113","Montgomery"
58,2012,3.46500731184964,39.6578707,-84.3980039,"39113","Montgomery"
58,2000,3.35611599976092,39.6578707,-84.3980039,"39113","Montgomery"
60,2003,2.86936915246861,39.493375,-84.6652972,"39017","Butler"
60,2011,3.04449838101453,39.493375,-84.6652972,"39017","Butler"
60,2008,3.05885594082793,39.493375,-84.6652972,"39017","Butler"
60,2001,2.98754761696797,39.493375,-84.6652972,"39017","Butler"
60,2009,2.69012707327219,39.493375,-84.6652972,"39017","Butler"
60,2000,2.7985137637009,39.493375,-84.6652972,"39017","Butler"
60,2004,2.94914066820254,39.493375,-84.6652972,"39017","Butler"
60,2010,3.11273674134421,39.493375,-84.6652972,"39017","Butler"
64,2012,2.87961800566219,39.3611652,-83.8637013,"39027","Clinton"
64,2010,2.81545530131051,39.3611652,-83.8637013,"39027","Clinton"
64,2000,3.27514338921629,39.3611652,-83.8637013,"39027","Clinton"
64,2003,3.14053706255805,39.3611652,-83.8637013,"39027","Clinton"
64,2008,2.97758756866928,39.3611652,-83.8637013,"39027","Clinton"
64,2009,2.99117812006799,39.3611652,-83.8637013,"39027","Clinton"
64,2007,2.88912327663796,39.3611652,-83.8637013,"39027","Clinton"
64,2004,3.01294235997605,39.3611652,-83.8637013,"39027","Clinton"
64,2005,2.91553070993141,39.3611652,-83.8637013,"39027","Clinton"
64,2011,2.93992563058758,39.3611652,-83.8637013,"39027","Clinton"
64,2002,2.97789766780355,39.3611652,-83.8637013,"39027","Clinton"
64,2006,3.03162810768308,39.3611652,-83.8637013,"39027","Clinton"
64,2001,3.26023864861059,39.3611652,-83.8637013,"39027","Clinton"
64,2013,2.82703070829599,39.3611652,-83.8637013,"39027","Clinton"
67,2006,2.32198692102463,39.6821707,-83.8036269,"39057","Greene"
67,2002,2.58965867272452,39.6821707,-83.8036269,"39057","Greene"
67,2007,2.53071013051003,39.6821707,-83.8036269,"39057","Greene"
67,2008,2.47940124057679,39.6821707,-83.8036269,"39057","Greene"
67,2003,2.5652161670175,39.6821707,-83.8036269,"39057","Greene"
67,2001,2.5638637121727,39.6821707,-83.8036269,"39057","Greene"
67,2012,2.65951738308141,39.6821707,-83.8036269,"39057","Greene"
67,2005,2.59617417918669,39.6821707,-83.8036269,"39057","Greene"
67,2009,2.63488583685185,39.6821707,-83.8036269,"39057","Greene"
67,2000,2.4930427624203,39.6821707,-83.8036269,"39057","Greene"
67,2010,2.49741429208838,39.6821707,-83.8036269,"39057","Greene"
67,2011,2.80548410309532,39.6821707,-83.8036269,"39057","Greene"
67,2004,2.50150232398244,39.6821707,-83.8036269,"39057","Greene"
72,2005,3.6736114733249,39.1991097,-82.6751939,"39079","Jackson"
72,2013,3.62781264080756,39.1991097,-82.6751939,"39079","Jackson"
72,2004,3.66913236161305,39.1991097,-82.6751939,"39079","Jackson"
72,2009,3.43830791325089,39.1991097,-82.6751939,"39079","Jackson"
72,2007,3.57927217817488,39.1991097,-82.6751939,"39079","Jackson"
72,2003,3.64987073210102,39.1991097,-82.6751939,"39079","Jackson"
72,2010,3.46088076690159,39.1991097,-82.6751939,"39079","Jackson"
72,2002,3.69913016318612,39.1991097,-82.6751939,"39079","Jackson"
72,2011,3.35031877188355,39.1991097,-82.6751939,"39079","Jackson"
72,2012,3.43278720176081,39.1991097,-82.6751939,"39079","Jackson"
72,2006,3.60699444624903,39.1991097,-82.6751939,"39079","Jackson"
72,2008,3.47650671668395,39.1991097,-82.6751939,"39079","Jackson"
73,2010,3.51747527219533,39.3166637,-82.1680389,"39009","Athens"
73,2002,3.6400289941082,39.3166637,-82.1680389,"39009","Athens"
73,2005,3.57267334960919,39.3166637,-82.1680389,"39009","Athens"
73,2012,3.59115249254526,39.3166637,-82.1680389,"39009","Athens"
73,2008,3.40088339654418,39.3166637,-82.1680389,"39009","Athens"
73,2001,3.48641111756251,39.3166637,-82.1680389,"39009","Athens"
