Route,Year,Shannon,Lati,Longi,GEOID,county
58,2005,3.357520931,39.6578707,-84.3980039,39113,Montgomery
58,2010,3.330588506,39.6578707,-84.3980039,39113,Montgomery
58,2007,3.516020055,39.6578707,-84.3980039,39113,Montgomery
58,2001,3.543514306,39.6578707,-84.3980039,39113,Montgomery
58,2012,3.465007312,39.6578707,-84.3980039,39113,Montgomery
58,2000,3.356116,39.6578707,-84.3980039,39113,Montgomery
60,2003,2.869369152,39.493375,-84.6652972,39017,Butler
60,2011,3.044498381,39.493375,-84.6652972,39017,Butler
60,2008,3.058855941,39.493375,-84.6652972,39017,Butler
60,2001,2.987547617,39.493375,-84.6652972,39017,Butler
60,2009,2.690127073,39.493375,-84.6652972,39017,Butler
60,2000,2.798513764,39.493375,-84.6652972,39017,Butler
60,2004,2.949140668,39.493375,-84.6652972,39017,Butler
60,2010,3.112736741,39.493375,-84.6652972,39017,Butler
64,2012,2.879618006,39.3611652,-83.8637013,39027,Clinton
64,2010,2.815455301,39.3611652,-83.8637013,39027,Clinton
64,2000,3.275143389,39.3611652,-83.8637013,39027,Clinton
64,2003,3.140537063,39.3611652,-83.8637013,39027,Clinton
64,2008,2.977587569,39.3611652,-83.8637013,39027,Clinton
64,2009,2.99117812,39.3611652,-83.8637013,39027,Clinton
64,2007,2.889123277,39.3611652,-83.8637013,39027,Clinton
64,2004,3.01294236,39.3611652,-83.8637013,39027,Clinton
64,2005,2.91553071,39.3611652,-83.8637013,39027,Clinton
64,2011,2.939925631,39.3611652,-83.8637013,39027,Clinton
64,2002,2.977897668,39.3611652,-83.8637013,39027,Clinton
64,2006,3.031628108,39.3611652,-83.8637013,39027,Clinton
64,2001,3.260238649,39.3611652,-83.8637013,39027,Clinton
64,2013,2.827030708,39.3611652,-83.8637013,39027,Clinton
67,2006,2.321986921,39.6821707,-83.8036269,39057,Greene
67,2002,2.589658673,39.6821707,-83.8036269,39057,Greene
67,2007,2.530710131,39.6821707,-83.8036269,39057,Greene
67,2008,2.479401241,39.6821707,-83.8036269,39057,Greene
67,2003,2.565216167,39.6821707,-83.8036269,39057,Greene
67,2001,2.563863712,39.6821707,-83.8036269,39057,Greene
67,2012,2.659517383,39.6821707,-83.8036269,39057,Greene
67,2005,2.596174179,39.6821707,-83.8036269,39057,Greene
67,2009,2.634885837,39.6821707,-83.8036269,39057,Greene
