"Route","Year","Shannon","Lati","Longi"
"336",72,2002,3.69913016318612,39.1991097,-82.6751939
"337",72,2011,3.35031877188355,39.1991097,-82.6751939
"338",72,2012,3.43278720176081,39.1991097,-82.6751939
"339",72,2006,3.60699444624903,39.1991097,-82.6751939
"340",72,2008,3.47650671668395,39.1991097,-82.6751939
"341",73,2010,3.51747527219533,39.3166637,-82.1680389
"342",73,2002,3.6400289941082,39.3166637,-82.1680389
"343",73,2005,3.57267334960919,39.3166637,-82.1680389
"344",73,2012,3.59115249254526,39.3166637,-82.1680389
"345",73,2008,3.40088339654418,39.3166637,-82.1680389
"346",73,2001,3.48641111756251,39.3166637,-82.1680389
"347",73,2009,3.58581521062274,39.3166637,-82.1680389
"348",73,2007,3.56639765974788,39.3166637,-82.1680389
"349",73,2013,3.60563089158454,39.3166637,-82.1680389
"350",73,2006,3.42955667475892,39.3166637,-82.1680389
"351",73,2000,3.69966627473446,39.3166637,-82.1680389
"352",73,2004,3.54728479286968,39.3166637,-82.1680389
"353",73,2011,3.56711940550624,39.3166637,-82.1680389
"354",73,2003,3.43776224002231,39.3166637,-82.1680389
"355",74,2013,3.58950547905585,39.1527143,-82.9107789
"356",74,2000,3.60293457798668,39.1527143,-82.9107789
"357",74,2011,3.66531744775557,39.1527143,-82.9107789
"358",74,2001,3.58533404605023,39.1527143,-82.9107789
"359",74,2007,3.61054057716877,39.1527143,-82.9107789
"360",74,2003,3.55967134087485,39.1527143,-82.9107789
"361",74,2009,3.68219157103077,39.1527143,-82.9107789
"362",74,2006,3.50362349585467,39.1527143,-82.9107789
"363",74,2005,3.49546485507047,39.1527143,-82.9107789
"364",74,2010,3.47343961480208,39.1527143,-82.9107789
"365",74,2004,3.43097458805765,39.1527143,-82.9107789
"366",74,2008,3.5783241912355,39.1527143,-82.9107789
"367",74,2012,3.62327875892912,39.1527143,-82.9107789
"368",75,2003,3.34223997361769,39.9655986,-82.5305735
"369",75,2007,3.17452843319154,39.9655986,-82.5305735
"370",75,2000,2.79319993445846,39.9655986,-82.5305735
"371",75,2010,2.99498455361961,39.9655986,-82.5305735
"372",75,2002,3.15040927541025,39.9655986,-82.5305735
"373",75,2012,3.08559819160068,39.9655986,-82.5305735
"374",75,2011,3.21688418520033,39.9655986,-82.5305735
"375",75,2004,3.00662279147878,39.9655986,-82.5305735
"376",75,2008,3.21956829791653,39.9655986,-82.5305735
"377",75,2006,2.95331933110745,39.9655986,-82.5305735
"378",75,2009,3.17777927989767,39.9655986,-82.5305735
"379",75,2005,3.25338347792894,39.9655986,-82.5305735
"380",75,2013,3.12818141255943,39.9655986,-82.5305735
"381",75,2001,3.26772063661865,39.9655986,-82.5305735
"382",76,2007,3.65967797761588,39.2309737,-82.2853793
"383",76,2008,3.65470946683117,39.2309737,-82.2853793
"384",76,2003,3.64072041609762,39.2309737,-82.2853793
"385",76,2009,3.4489581427265,39.2309737,-82.2853793
"386",76,2002,3.61516321447008,39.2309737,-82.2853793
"387",76,2010,3.57294794504707,39.2309737,-82.2853793
"388",76,2011,3.44445567943647,39.2309737,-82.2853793
"389",76,2000,3.59760267614867,39.2309737,-82.2853793
"390",76,2006,3.51903546272021,39.2309737,-82.2853793
"391",76,2001,3.59025785915729,39.2309737,-82.2853793
"392",76,2005,3.56050018801272,39.2309737,-82.2853793
"393",76,2012,3.61961512286241,39.2309737,-82.2853793
"394",76,2013,3.68832764614564,39.2309737,-82.2853793
"395",76,2004,3.69971634235879,39.2309737,-82.2853793
"396",80,2003,3.34335230591237,39.4158977,-81.3554829
"397",80,2012,3.51399132051562,39.4158977,-81.3554829
"398",80,2010,3.36935087864525,39.4158977,-81.3554829
"399",80,2009,3.33941599620731,39.4158977,-81.3554829
"400",80,2005,3.3713099490147,39.4158977,-81.3554829
"401",80,2001,3.34933231173033,39.4158977,-81.3554829
"402",80,2002,3.50665884213707,39.4158977,-81.3554829
"403",80,2000,3.46808788414194,39.4158977,-81.3554829
"404",80,2008,3.44150969513481,39.4158977,-81.3554829
"405",80,2004,3.25599249810527,39.4158977,-81.3554829
"406",80,2013,3.41963485522592,39.4158977,-81.3554829
"407",80,2006,3.44785241147577,39.4158977,-81.3554829
"408",80,2007,3.32506689621805,39.4158977,-81.3554829
"409",80,2011,3.28620377576291,39.4158977,-81.3554829
"410",82,2000,3.65285002330916,39.2701767,-81.8827139
"411",82,2006,3.47224726187318,39.2701767,-81.8827139
"412",82,2009,3.54141241252131,39.2701767,-81.8827139
"413",82,2012,3.6386396028009,39.2701767,-81.8827139
"414",82,2010,3.50681809859083,39.2701767,-81.8827139
"415",82,2011,3.56816994390815,39.2701767,-81.8827139
"416",82,2003,3.34866265200115,39.2701767,-81.8827139
"417",82,2001,3.54794750068435,39.2701767,-81.8827139
"418",82,2005,3.49311277775681,39.2701767,-81.8827139
"419",82,2007,3.40332804687026,39.2701767,-81.8827139
"420",82,2008,3.69470638928112,39.2701767,-81.8827139
"421",82,2004,3.5237674739308,39.2701767,-81.8827139
"422",82,2002,3.557356297897,39.2701767,-81.8827139
"423",83,2006,3.10782634829741,39.8938347,-81.6718899
"424",83,2011,2.89123850985133,39.8938347,-81.6718899
"425",83,2010,3.19389902637954,39.8938347,-81.6718899
"426",83,2005,3.19539650561212,39.8938347,-81.6718899
"427",83,2013,3.02120470016744,39.8938347,-81.6718899
"428",83,2009,3.18688354959389,39.8938347,-81.6718899
"429",83,2002,3.2356231616435,39.8938347,-81.6718899
"430",83,2008,3.13602440032796,39.8938347,-81.6718899
"431",83,2007,3.08354367844776,39.8938347,-81.6718899
"432",83,2001,3.23588060275046,39.8938347,-81.6718899
"433",83,2012,3.23334083964786,39.8938347,-81.6718899
"434",83,2000,3.19799505324319,39.8938347,-81.6718899
"435",85,2001,3.1133996835446,38.9081057,-83.7588579
"436",85,2004,3.26733249676364,38.9081057,-83.7588579
"437",85,2003,2.99516630194826,38.9081057,-83.7588579
"438",85,2008,3.36318088562271,38.9081057,-83.7588579
"439",85,2012,3.38662373933524,38.9081057,-83.7588579
"440",85,2005,3.28269470445319,38.9081057,-83.7588579
"441",85,2002,3.15491096081498,38.9081057,-83.7588579
"442",85,2007,3.46101891804261,38.9081057,-83.7588579
"443",85,2010,3.48808310630216,38.9081057,-83.7588579
"444",85,2009,3.48551410904681,38.9081057,-83.7588579
"445",85,2006,3.4144517258671,38.9081057,-83.7588579
"446",85,2000,3.24461420967287,38.9081057,-83.7588579
"447",86,2010,3.8294659351446,38.6696358,-83.4163514
"448",86,2008,3.68907873813258,38.6696358,-83.4163514
"449",86,2013,3.69686213563252,38.6696358,-83.4163514
"450",86,2005,3.61275297606699,38.6696358,-83.4163514
"451",86,2001,3.46096897556552,38.6696358,-83.4163514
"452",86,2000,3.67280752835339,38.6696358,-83.4163514
"453",86,2002,3.61331963247311,38.6696358,-83.4163514
"454",86,2011,3.80816108257472,38.6696358,-83.4163514
"455",86,2003,3.59974526773269,38.6696358,-83.4163514
"456",86,2007,3.61853771494413,38.6696358,-83.4163514
"457",86,2009,3.52666999436983,38.6696358,-83.4163514
"458",86,2012,3.69575008533678,38.6696358,-83.4163514
"459",86,2006,3.66460166279017,38.6696358,-83.4163514
"460",87,2002,3.09920874110985,38.8817267,-82.7884369
"461",87,2001,3.19509033129816,38.8817267,-82.7884369
"462",87,2006,3.34569154516536,38.8817267,-82.7884369
"463",87,2005,3.42651971564743,38.8817267,-82.7884369
"464",87,2010,3.3697288697888,38.8817267,-82.7884369
"465",87,2009,3.5689315264454,38.8817267,-82.7884369
"466",87,2000,3.35124580016672,38.8817267,-82.7884369
"467",87,2008,3.21720321363142,38.8817267,-82.7884369
"468",87,2011,3.42559556934082,38.8817267,-82.7884369
"469",87,2007,3.547781549348,38.8817267,-82.7884369
"470",87,2004,3.42445894765244,38.8817267,-82.7884369
"471",87,2012,3.46633037786235,38.8817267,-82.7884369
"472",87,2013,3.47693431170027,38.8817267,-82.7884369
"473",87,2003,3.22175043829653,38.8817267,-82.7884369
"474",107,2010,2.79837239582091,41.5440972,-83.4580032
"475",107,2001,2.82437706321241,41.5440972,-83.4580032
"476",107,2011,3.03669903554965,41.5440972,-83.4580032
"477",107,2012,2.9647772186331,41.5440972,-83.4580032
"478",107,2008,2.81357092263033,41.5440972,-83.4580032
"479",107,2004,2.7890767005351,41.5440972,-83.4580032
"480",107,2006,2.79904978152559,41.5440972,-83.4580032
