"GEOID","Prop.area","Value","NAME","ALAND","AWATER","INTPTLAT","INTPTLON","prop.land.area"
"39017",5.32180669424151e-05,"25","Butler",1209637383,7999875,"+39.4397469","-084.5657341",5.35700219078156e-05
"39017",0.00749413862123815,"26","Butler",1209637383,7999875,"+39.4397469","-084.5657341",0.00754370072393531
"39017",1.77393556474717e-05,"27","Butler",1209637383,7999875,"+39.4397469","-084.5657341",1.78566739692719e-05
"39017",1.25653769169591e-05,"41","Butler",1209637383,7999875,"+39.4397469","-084.5657341",1.26484773949009e-05
"39017",0.00981577679160101,"42","Butler",1209637383,7999875,"+39.4397469","-084.5657341",0.00988069292966377
"39017",9.6088176423805e-06,"43","Butler",1209637383,7999875,"+39.4397469","-084.5657341",9.67236506668893e-06
"39017",0.000204002589945925,"45","Butler",1209637383,7999875,"+39.4397469","-084.5657341",0.000205351750646627
"39017",0.00991186496802481,"46","Butler",1209637383,7999875,"+39.4397469","-084.5657341",0.00997741658033066
"39017",5.17397873051258e-06,"47","Butler",1209637383,7999875,"+39.4397469","-084.5657341",5.20819657437096e-06
"39017",0.00162167276210637,"61","Butler",1209637383,7999875,"+39.4397469","-084.5657341",0.00163239761202427
"39017",0.00850158619405081,"62","Butler",1209637383,7999875,"+39.4397469","-084.5657341",0.00855781099977355
"39017",0.00511780410429559,"64","Butler",1209637383,7999875,"+39.4397469","-084.5657341",0.00515165044013494
"39017",9.01750578746478e-05,"65","Butler",1209637383,7999875,"+39.4397469","-084.5657341",9.07714260104654e-05
"39017",8.42619393254906e-05,"67","Butler",1209637383,7999875,"+39.4397469","-084.5657341",8.48192013540414e-05
