COMPOUND,ChemClassPAN,UseTypePAN,MOA,MOA_source,AlanWoodChemClass
DODINE,Guanidine,"Fungicide, Microbiocide",UN,FRAC,Aliphatic nitrogen
BIFENAZATE,Unclassified,Insecticide,UN,IRAC,Carbazate
CRYOLITE,Inorganic,Insecticide,UN,IRAC,Fluorine
DICOFOL,Organochlorine,"Insecticide, acaricide",UN,IRAC,Bridged diphenyl
AZADIRACHTIN,Botanical,"Insecticide, Nematicide",UN,IRAC,Botanical
METAM,Dithiocarbamate-MITC,"Fumigant, Fungicide, Microbiocide, Algaecide, Nematicide",UN,HRAC,Dithiocarbamate
FOSAMINE,Unknown,Herbicide,Z,HRAC,Organophosphorus
MSMA,"Organoarsenic, Heavy metal","Herbicide, Defoliant",Z,HRAC,Arsenical
PELARGONIC ACID,Fatty acid,"Herbicide, Fungicide",Z,HRAC,Unclassified
POTASSIUM OLEATE,Soap,Adjuvant,,,NA
BORDEAUX MIXTURE,Inorganic-Copper,"Algaecide, Fungicide, Molluscicide",,,Copper
COPPER SULF TRIBASIC,Inorganic-Copper,"Algaecide, Fungicide, Molluscicide",,,Copper
COPPER SULFATE,Inorganic-Copper,"Algaecide, Fungicide, Molluscicide",,,Copper
METHYL ISOTHIOCYANATE,Unclassified,"Breakdown product, Fumigant, Herbicide, Insecticide, Nematicide",,,Inorganic
NAPTHA,Unknown,"Chemical intermediate, Dye, Insect Repellent, Insecticide",,,NA
SODIUM CHLORATE,Inorganic,"Defoliant, Herbicide, Microbiocide",,,Inorganic
CALCIUM CHLORIDE,Inorganic,"Dessicant, Fungicide, Herbicide, Insecticide, Microbiocide, Molluscicide, Plant Growth Regulator, Preservative ",,,NA
CHINOMETHIONAT,Unclassified,"Fumigant, Fungicide, Insecticide",,,Quinoxaline
TETRATHIOCARBONATE,Inorganic,"Fumigant, Fungicide, Nematicide",,,Fumigant
METHYL BROMIDE,Halogenated organic,"Fumigant, Insecticide, Herbicide, Nematicide",,,Fumigant
CHLOROPICRIN,Inorganic,"Fumigant, Nematicide",,,Fumigant
DICHLOROPROPENE,Halogenated organic,"Fumigant, Nematicide",,,Fumigant
BURKHOLDERIA CEPACIA,Microbial,Fungicide,,,NA
CONIOTHYRIUM MINITANS,Microbial,Fungicide,,,NA
COPPER OXYCHLORIDE,Inorganic-Copper,Fungicide,,,Copper
COPPER OXYCHLORIDE S,Inorganic-Copper,Fungicide,,,Copper
DICHLONE,Unknown,Fungicide,,,Quinone
FLUOPYRAM,"Amide, Pyridine",Fungicide,,,"Amide, Pyridine"
FLUXAPYROXAD,"Anilide, Pyrazole",Fungicide,,,"Amide, Pyrazole"
POTASSIUM BICARBONATE,Inorganic,Fungicide,,,NA
BARIUM POLYSULFIDE,Inorganic,"Fungicide, Insecticide",,,Polysulfide
CALCIUM POLYSULFIDE,Inorganic,"Fungicide, Insecticide",,,"Inorganic, polysulfide"
COPPER HYDROXIDE,Inorganic-Copper,"Fungicide, Microbiocide, Nematicide",,,Copper
HARPIN PROTEIN,Microbial,"Fungicide, Nematicide, Plant Growth Regulator",,,NA
AMMONIUM SULFAMATE,Inorganic,Herbicide,,,Inorganic
DIETHATYL,Chloroacetanilide,Herbicide,,,Amide
INDAZIFLAM,Triazine,Herbicide,,,Triazine
ISOPROPALIN,"2,6-Dinitroaniline",Herbicide,,,Dinitroaniline
NORURON,Urea,Herbicide,,,Urea
PYRASULFOTOLE,Unknown,Herbicide,,,Pyrazole
SAFLUFENACIL,Amide,Herbicide,,,"Amide, Uracil"
TEMBOTRIONE,Benzoylcyclohexanedione,Herbicide,,,Benzoylcyclohexanedione
THIENCARBAZONE-METHYL,Unknown,Herbicide,,,Triazolone
TOPRAMEZONE,Oxazole,Herbicide,,,"Oxazole, Pyrazole"
TRIDIPHANE,Unknown,Herbicide,,,Unclassified
ZINC,Inorganic-Zinc,Herbicide,,,NA
ENDOTHAL,Unclassified,"Herbicide, Defoliant",,,Unclassified
NOVALURON,Benzoylurea,"Herbicide, Insecticide",,,Insect Growth Regulator
TRINEXAPAC,Unclassified,"Herbicide, Plant Growth Regulator",,,Unclassified
PETROLEUM DISTILLATE,Petroleum derivative-Saturated,"Herbicide, Plant Growth Regulator, Insecticide, Adjuvant, Solvent",,,NA
CYDIA POMONELLA,Insect virus,Insect Growth Regulator,,,Lepidopteran attractant
HEXYTHIAZOX,Unclassified,Insect Growth Regulator,,,"Thiazolidine, Mite Growth Regulator"
PINOLENE,Unclassified,Insect Growth Regulator,,,NA
PYRIPROXYFEN,Juvenile hormone mimic,Insect Growth Regulator,,,Insect Growth Regulator
DIENOCHLOR,Organochlorine,Insecticide,,,Organochlorine
FLUVALINATE-TAU,Pyrethroid,Insecticide,,,Pyrethroid
FONOFOS,Organophosphorus,Insecticide,,,Organophosphorus
GARLIC JUICE,Botanical,Insecticide,,,NA
